,text,rating
0,"Good message, but it seems an overrated book. I love other books of Nguyen Phong, but this book is quite boring.

The first part of the book seems a little fictional and childish for me lol, and many details seem to be left blank at the end. Like Kris said, Thomas would have met Kor again to pay for his crime, but no information after all.

It is like a fiction but without a good plot.

--------

Sau một thời gian suy nghĩ thì mình quyết định rate lại cuốn sách này 1 sao :) Dù khá thích những cuốn khác của tác giả Nguyên Phong, nhưng sorry, this book is so lameeeeeee.. Với những ai mong muốn 1 kinh nghiệm đổi đời, kho tàng kiến thức phong phú thì cuốn sách này quá dư thừa. Nó giống như 1 cuốn truyện cổ tích kết hợp đủ các yếu tố fantasy vào, chả có đầu có cuối gì cả. (less)",1
1,"26/2/2020 Đọc lại lần số 3, vẫn thấy hay như hai lần đầu.

Dù bạn không thích hay thích Nhà Giả Kim thì cuốn sách này cũng là một sự thay thế hoàn hảo. Câu chuyện tâm linh cuốn hút, yếu tố văn hóa và lịch sử được lồng ghét rất tinh tế. Nhiều bài học và góc nhìn hay được kể xuyên suốt. Mình đã quá sức ấn tượng với cuốn sách này và tự hỏi tại sao nó lại không nổi tiếng nhỉ?",5
2,"Xếp cuốn này vào Novel cũng được, vì nó là 1 truyền thuyết được tác giả tưởng tượng ra 1 câu chuyện thành sách. Nhưng xen kẽ vào đó cũng biết được thêm về lịch sử Ai Cập, sơ lược.
Truyện nổi bật vấn đề về cái chết, sự sống, con người hướng thiện, bắt đầu từ 1 vị bác sĩ , lương y, hết lòng vì bệnh nhân, không màng danh lợi, ham học hỏi, chỉ theo đuổi kiến thức , ấy thế mà cũng lầm đường lạc lối chỉ vì 1 cô gái. Tất cả đều rất gần với con người thật, bản ngã con người cũng vậy, không vững bền khắc sẽ vị lung lay vì những thứ hào nhoáng bên ngoài, ko có giá trị thực tế...
Bản thân sau khi đọc cuốn ""hành trình về phương Đông"" và chuyển qua đọc cuốn này, đại ý như 1 sự liền mạch về cách suy nghĩ với sự sống và cái chết, về kiếp luân hồi, ở thiện làm điều thiện sẽ chuyển hoá qua 1 thế giới khác, làm lại được kiếp con người..
Đọc để bản thân thấy mình thanh thản hơn, an nhiên hơn giữa đòng đời tấp nập hối hả, ko biết sống vì mục đích gì.. (less)",5
3,"Thực sự cuốn và hay, bạn nào ngại đọc sách tâm linh khô khan giáo điều thì đây là một cuốn sách hoàn hảo để bắt đầu nhé",4
4,"Không còn biết dành từ ngữ nào xuất sắc hơn dành cho cuốn này bằng 5 sao tròn trĩnh cả!

Mình mê Ai Cập và bất cứ câu chuyện lịch sử nào liên quan tới Ai Cập từ hồi còn....cầm đọc Nữ hoàng Ai Cập cơ :v Mê đắm tới nỗi thèm đi qua bển du lịch luôn cơ =))) Qua cuốn này mình mới hiểu rõ thêm về các vị thần Ai Cập, các nhân vật có thật trong lịch sử mà không còn confused như hồi xưa nữa.

Câu chuyện trong cuốn sách này thì cuốn hút ngay từ trang đầu tiên tới tận dòng cuối cùng. Mặc dù biết chỉ là hư cấu, nhưng thấy chân thật tới lạ. Rất cảm ơn tác giả Nguyên Phong đã đưa mình quay lại Ai Cập của thế kỉ 14 TCN đầy sống động và ly kì tới vậy. Nhờ tìm hiểu và đọc cuốn này mới hiểu được ý nghĩa của chữ Phóng tác =))), trước đây đã hiểu lầm một cách tai hại về chữ này.

Trong lúc đang đọc cuốn này thì mình có tìm hiểu một số bài viết phê phán sự không chân thực về thông tin liên quan tới tác giả gốc Mika Waltari lẫn nhân vật Sinuhe được đề cập trong cuốn sách. Cũng có 1 chút xíu không hài lòng khi biết được nhưng mình bỏ qua luôn vì độ hay siêu bánh cuốn của câu chuyện hú hú

Sẽ tìm hiểu thêm những cuốn sách khác của Nguyên Phong. Highly recommend again! RTC! (less)",5
5,"Những con người vĩ đại đều trải qua những trải nghiệm đầy sống động và tuyệt vời.

Một quyển sách thực sự hấp dẫn.
Chuyện kể đầy lôi cuốn với những nhân vật hiện lên rất thật.

Trí tuệ và minh triết cổ đại thật đáng kinh ngạc.

Enjoy đọc quyển này nhé các bạn.

HN, 28/11/2020",5
6,"Tiểu thuyết phóng tác dựa trên những dấu tích lịch sử chắp vá được khai quật từ nền văn minh cổ đại Ai Cập. Cách kể chuyện khô khan, lê thê, dài dòng, lặp ý liên tục. Các đoạn hội thoại được dẫn dắt như văn tự sự vỡ lòng. Một trong những điểm sáng là cốt truyện hấp dẫn, đủ khơi dậy tò mò để có thể đi hết cuốn sách. Hàm lượng kiến thức văn hoá Ai Cập xuyên suốt và trong phần phụ lục cuối sách cũng là một điểm cộng. Tác giả giống như một người đạo diễn non tay được giao cho một kịch bản tốt! Vì thế những ý nghĩa ẩn dụ, những bài học, và câu chuyện trở nên hơi sáo rỗng và lý thuyết. (less)",3
7,"4.5
Tuyệt vời, rất hay và cuốn hút, đọc sách mà cứ ngỡ như xem một bộ phim, từ góc nhìn tâm linh cho tới yếu tố lịch sử được lồng ghép tinh tế song hành với nhau. Rất khuyến khích các bạn nên đọc quyển này. Chắc chắn mình sẽ đọc lại một vài lần nữa.",4
8,"Đầu tiên là, cuốn sách này có rất rất nhiều câu quote (triết lý) sâu sắc. Nếu mọi người đã yêu thích những triết lý sâu sắc trong cuốn Nhà giả kim thì Dấu chân trên cát cũng mang lại những điều tương tự. Cá nhân mình thì mình thích cuốn này hơn hẳn cuốn Nhà giả kim luôn bởi vì mình đọc có cảm giác gần gũi và dễ hiểu hơn.

Thứ hai là là, mọi người sẽ bắt gặp hình ảnh và câu chuyện của Thái tử Tất Đạt Đa – tức là Đức Phật sau này qua hình ảnh và chặng đường 17 năm trị vì của Pharaol Akhenaten (tên này khó đọc quá). Những tư tưởng về thế thái nhân tình, về chiến tranh, hận thù,…của vị Pharaol này trùng hợp hay ngẫu nhiên, nó giống với những điều mình thấy được ở Thái tử Tất Đạt Đa trong suốt 55 tập phim về cuộc đời của Đức Phật. Mình vô cùng thích thú và tâm đắc với điều này. Vượt không gian và thời gian, những tư tưởng tiến bộ này sao lại xuất hiện hai lần ở hai nơi khác nhau, trong hai con người khác nhau nhưng ở họ lại có sự giống nhau về nguồn gốc xuất thân và con đường giác ngộ.

Thứ ba là, nếu mọi người yêu thích những đường lối giáo dục cách tân của nhà tư tưởng có ảnh hưởng sâu rộng nhất đối với xã hội Nhật Bản cận đại – Fukuzawa Yukichi, với tác phẩm nổi tiếng nhất của ông – Khuyến học, thì mình tin, bạn cũng sẽ yêu thích hoặc đồng ý với những tư tưởng cải cách giáo dục của Pharaol Akhenaten. Mình chưa thấy vị Pharaol nào sở hữu những kiến thức tinh thông về khoa học sự sống và sự chết như ông. Nó bao gồm luôn cả những kiến thức về vũ trụ và chiêm tinh học. Mà Ai Cập thì đã quá nổi tiếng là cái nôi của chiêm tinh học rồi (nếu mình nhớ không nhầm thì là vậy).

Và thứ cuối cùng chính là tính drama của cuốn sách. Mình đã bắt gặp những câu chuyện tranh giành quyền lực, lật đổ và tàn sát lẫn nhau trong những bộ phim Cung đấu của Trung Quốc. Còn ở Việt Nam thì mình có đọc tập 6 của tiểu thuyết Bão táp triều Trần – Vương triều sụp đổ của Hoàng Quốc Hải, khỏi phải nói tính drama không thua gì những bộ phim cung đấu. Nếu bạn trót yêu thích và say mê những câu chuyện kiểu này, thì Dấu chân trên cát chắc chắn sẽ không làm bạn thất vọng.

“Cũng như những vết chân trên cát chỉ tồn tại một thoáng giây rồi phai mờ; huyền thoại về một người Ai Cập, qua Hy Lạp mở trường dạy học, đào tạo nhiều thế hệ học trò xuất sắc chỉ còn là một câu chuyện mơ hồ trong cuộc sống ồn ào, náo nhiệt ngày nay.” – Trang 417

https://ntquangg.wordpress.com/2019/0... (less)",5
9,"Một cuốn sách đáng kinh ngạc. Tưởng như chỉ là 1 cuốn sách nói về những thông tin hay ho về Ai Cập. Nhưng không, từ lúc bắt đầu cho đến khi kết thúc, nó đưa mình đi từ ngạc nhiên này đến ngạc nhiên khác, nó chứa đựng hầu hết những quan điểm, suy nghĩ, những đắn đo của mình về các vấn đề khác nhau trên Trái Đất này. Các quốc gia đang được xây dựng dựa trên những nguyên tắc và nền tảng như thế nào, xã hội và nền kinh tế nên dựng xây ra sao. Con người nên sống như thế nào là tốt nhất. Thiên nhiên, con người và những vị tinh tú, cả Vũ Trụ bao la rộng lớn ngoài kia, liên quan mật thiết đến nhau như thế nào. Tôi là ai. Tôi có vai trò như thế nào trong Vũ Trụ này. Tôi phải làm gì để nhận biết được mình, để hoàn thành sứ mệnh của mình trong dòng chảy lịch sử của Trái Đất, của Vũ Trụ. Tất cả đều được đặt ra trong cuốn sách này. Những giá trị, những quan điểm, lý tưởng của Pharaoh Akhenaten đã vượt qua khỏi không gian và thời gian của hàng ngàn năm lịch sử. Để khi mình nhìn lại, đứng ở vị trí khách quan của một con người ở thế kỉ 21, thế kỉ của một thế giới phát triển đủ hiện đại, thì chẳng phải là những điều mà không chỉ mỗi mình, mà còn rất nhiều người ngoài kia đang chú ý đến, cố gắng học hỏi và thực hiện sao. Những tri thức rộng lớn, đa chiều, những tư duy và quan điểm hết sức sâu sắc, với trái tim rộng lượng tràn ngập sự vị tha. Sự hiện diện và trị vị của Akhenaten đã để lại cho Ai Cập và những người quan tâm, nghiên cứu về một trong những nền văn minh cổ xưa nhất trên thế giới này những câu hỏi vẫn chưa ai giải đáp được. Ông ấy thật sự là ai. Tại sao Pharaoh này lại tạo ra cuộc cải cách tôn giáo táo bạo đến như thế. Tại sao những tư duy, quan điểm của ông lại đi trước thời đại đến vậy. Tại sao xác ướp của Akhenaten đến bây giờ được xem là xác vị vua hiếm hoi chưa được tìm thấy của thời đại các Pharaoh. Tại sao những dấu vết trong ngôi đền của vị Pharaoh này lại bị phá hủy. Tại sao vết tích của ông trong lịch sự Ai Cập lại bí xóa bỏ nhiều đến vậy. Đến giờ, những bí mật về Pharaoh Akhenaten vẫn là câu hỏi chưa được giải đáp. Và phải rất lâu về sau, nhân loại mới trả lời được phần nào. Hoặc cũng có thể sẽ không bao giờ. (less)",5
