,text,rating
0,Cuốn sách này như kiểu là viết lại content từ chính kênh youtube của tác giả này. Cũng là những bài học chung chung từ các vĩ nhân trên thế giới rồi tổng hợp lại nói vài ba câu ý nghĩa. Mua ủng hộ tác giả Việt Nam mà tệ quá. Thất vọng.,1
1,"Mình đánh giá là “cho người mới tìm hiểu” vì hầu hết nội dung sẽ không khác gì các tựa sách truyền cảm hứng cho bản thân khác. Đây là 1 cuốn sách không tệ, nhưng nói thật là không đặc sắc cho lắm",3
2,"Tất cả các vấn đề tác giả đưa ra không có gì mới! Nếu ai đã từng đọc các loại sách phát triển bản thân thì sẽ thấy, sách này chỉ là tóm tắt lại nội dung các cuốn khác thôi.",3
3,Khá thất vọng. Cố gắng đọc hết cuốn sách nhưng không đọng lại đc gì. Cảm giác cuốn sách là một mớ hỗn độn nội dung. Hy vọng nhiều nên thất vọng cũng nhiều,1
4,Tạm hài lòng. Anh viết chương 7 sơ sài nha anh Thái. Tôi mong đợi nhiều hơn ở quyển sách này vì anh làm quảng cáo và làm hình ảnh cho nó quá nhiều.,3
5,"Không hay như những gì mình kỳ vọng. chắc cho mình kỳ vọng quá lớn. Nhưng mình cũng rút ra được một vài kinh nghiệm.
Cảm ơn nhiều!",3
6,ngoài đẹp ra thì không có nhiều giá trị. cuốn sách hầu như đều tổng hợp từ các cuốn sách nổi tiếng khác. hơi thất vọng,2
7,tác giả hơi bị tự phụ. nội dung lan man mặc dù mình biết anh dạy kiến thức cơ bản rất hay,2
8,"OK, chưa đọc hết nó.mỗi ngày đọc một chút và nghiền ngẫm về cốt truyện.",1
9,"Nội dung ko mới , chỉ là hệ thống lại . Sách  phù hợp với lứa tuổi đôi mươi.",3
10,"Những trang đầu đọc thì rất hào hứng, về sau đọc khó tiếp thu",1
11,"Sách ko có gì hay, ai thích mình bán lại nè",1
12,"bình thường, không có gì đặc sắc so với các quyển self-help khác",3
13,hàng rất tốt nhưng bao sách ko kỹ,3
14,nội dung cũng tạm được thôi,3
15,"Nội dung thực tế, đang chuẩn bị cụ thể cho cuộc đời",3
16,nội dung như cuốn version 01,3
17,khong thich cuon sach nay,1
18,Sách toàn đề cập đến những khái niệm sinh học kích thích-phản ứng gây khó hiểu và khó tiếp thu. Đôi lúc sách chưa giải thích rõ vấn đề muốn truyền đạt cho đọc giả nên sau khi đọc người đọc vẫn mơ hồ không biết phần này là như thế nào.,1
19,"Mình hơi bực mình khi thấy phần header sai chính tả. Hẳn là ""Tấm lý học hành vi"". Và vì header nên trang nào cũng vậy. Làm tụt mood đọc hẳn ạ.",3
20,"Văn phòng của tác giả Trung Quốc không phù hợp, sách không mang lại kiểu thông tin khoa học, lòng ghép lang mang các chuyện xưa.",2
21,nội dung không hấp dẫn. kiến thức cơ bản không đào sâu quá nhiều. đọc cho vui thì được.,3
22,"Hay, rõ ràng dễ hiểu. Bạn nào muốn tham khảo thêm về ngành này thì có thể đọc cuốn này",3
23,"dở, ko đáng tiền, ko nên mua",2
24,Nội dung lan man ko đặc sắc,2
25,Bố cục nội dung khá lan man,3
26,nội dung không quá hấp dẫn,2
27,"Nội dung chung chung ,lan man",1
28,Chưa đọc nên chưa rõ nội dung,3
29,"thất vọng về nội dung, sách trình bày đẹp",3
30,Sách dịch khá chán đọc lủng củng,3
31,"Es geffält mir gut, aber ich schätze es nicht.",3
32,như sách chuyên khoa ngành tâm lý 😂,3
33,Hơi khó hiểu và khoa học   .,3
34,"bình thường, bình thường bình",3
35,Sach dep nhung noi dung khong nhu mong doi,2
36,"Nội dung ko hay, dài dòng lan man",1
37,"nửa đầu sách viết về ""thể ý thức"" và ""thể vô thức"" rất hay. Thêm phần áp dụng tự kỉ ám thị trong giáo dục trẻ em cũng rất hữu ích. Nửa sau sách thì đọc hơi bị hẫng",3
38,Phần đầu phù hợp nhưng phần sau thiên về cách ứng dụng với các bệnh cụ thể không như kỳ vọng ban đầu của mình,3
39,Sách có nhiều lỗi chính tả,1
40,"Sách kể lòng vòng, hoặc có thể với bản thân không hợp!",1
41,Sách không phù hợp với tôi,3
42,ko hay bang 'think and grow rich' cua napoleon hill,2
43,kém đừng mua phí tiền lắm,1
44,"Cũng hay nhưng mà thấy nhiều cái đã từng đọc, những bạn khác chia sẻ, ko có nhiều điểm riêng với lại ở Việt Nam thì hơi khó dùng vì hầu hết những đường dẫn giới thiệu trong sách toàn là các nước phương Tây. Truy cập website cũng khó khăn, khó sử dụng.",3
45,"Sách đề cập rất nhiều đến những bạn làm tự do trong ngành sáng tạo, mình không phải đối tượng đó nên không ít lần thấy nội dung chẳng liên quan gì đến mình.",2
46,"Đọc sơ qua thấy nó chẳng dành cho đại chúng, sách dành cho giới sáng tạo. Nên đọc chả có ích gì  với cá nhân.",2
47,Kiểu như bạn đặt mục tiêu này thì hãy hoàn thành nó. Ưu tiên lợi thế của mình.,3
48,Sách không hay khi review hoặc là không hợp với mình,1
49,Sách hình thức đẹp nhưng nội dung quen thuộc quá rùi nên đọc ko có gì đặc sắc,3
50,Rất hay. Nhưng ndung chưa đc sâu lắm,3
51,cuốn sách ko hay như mong đợi,2
52,Sp dành cho bạn nào chưa đi làm.,3
53,Mình đọc nhiều nên cuốn này cho mình khá ít thông tin,3
54,Nội dung cũng tạm,3
55,Ko có gì hay ho cho mấy..,2
56,"Cách viết không hấp dẫn lắm. Nhiều nhân vật nhưng dường như không có tính cách riêng, cùng 1 quan điểm nên cứ như chỉ có 1 người trình bày. Nội dung có vẻ mang hơi hướng đạo Phật.",3
57,"Cá nhân mình thì thấy bình thường, nhiều cuốn đã viết trải nghiệm kiểu này nên cá nhân mình không thấy có gì nổi bật, nói chung đọc cũng được nhưng không thực sự cuốn hút!",3
58,"Sách in giấy chất lượng, in màu rõ ràng, bố cục sách rất tốt. Nội dung sách thì cũng tạm được, cá nhân cảm nhận nội dung thì không quá hay như các review của ae trên mạng từng review.",3
59,Sách tâm linh mà viết sao giống tiểu thuyết quá. Đọc mà bán tín bán nghi. Ko hay bằng cuốn Đường mây qua xứ tuyết,2
60,"Nội dung hơi lan man, không đi sâu và khó thuyết phục.",3
61,Mình không thực sự thích cuốn này lắm,3
62,"Nhạt, ngôn từ khó hiểu",3
63,nội dung không thuyết phục,1
64,"Mình nghe review rất hay về sách, nhưng đặt về thì nó k giống như mình mong đợi. Mình tưởng nó sẽ nói sâu hơn về sự thông minh hiểu biết của trái tim cơ nhưng mình cảm giác nó giống kiểu sách hạt giống tâm hồn. Hơi thất vọng",3
65,sách có nội dung dễ đọc. nhưng mà giấy in ko được đẹp.,3
66,Mình kỳ vọng hơi cao ở nội dung của sách nên...,3
67,"Mình chưa đọc cuốn này của a Kiên, nhưng đã hoàn thành 3 cuốn self-help và một số sách PDF về IELTS dở dang. 
Mình đánh giá 1* vì những gì A Kiên đáp lại với dư luận sau sự việc a *** bảng điểm IELTS và lí giải với lí do rằng : ""không phải ai cũng hoàn hảo, bạn đã hoàn hảo chưa, và anh cũng vậy"".
Và tiêu đề sách của a lại là ""ĐỪNG CHẠY THEO SỐ ĐÔNG"", a đã đi ngược lại với những gì anh viết, thật đáng buồn. Mình chỉ rate 1* cuốn này vì ý nghĩa của nó trái ngược hoàn toàn với những gì tác giả viết :D còn những cuốn kia, mình thấy đọc giả vẫn có thể tiếp thu từ những tích cực A Kiên mang lại. 
Đây là nhận xét của mình trên phương diện đọc giả tiếp thu những tích cực của a từ sách, nhưng cách a Kiên đáp lại với dư luận như vậy, mình hoàn toàn không đồng tình.",1
