,text,rating
0,"Sau khi nghe lời quảng cáo đầy phấn khích của một người bạn trên FB (cuốn này phải đọc, phải biết về ""sự thật,"" phải, phải, phải...) tôi đã rất e dè lo ngại, vì tôi rất sợ sách mà có thể gây ra thái độ quá khích như vậy. Nhưng sau khi đọc xong, tôi khẳng định người bạn kia chưa đọc xong cuốn sách này(cười).

Bởi vì sao? Bởi vì theo tôi Huy Đức viết ra Bên Thắng Cuộc có lẽ không nhằm một mục đích chính trị to lớn nào cả. Tác giả viết với ngòi bút là một nhà trí thức và là trí thức thì dù có luận điệu và quan điểm của riêng mình, (thường) họ trình bày thông tin công bằng nhất có thể, dựa trên những thông tin mà họ có. Giọng điệu của cuốn sách từ đầu tới cuối không bao giờ bị mất bình tĩnh, không bị sử dụng quá đà những tính từ chủ quan, và vì vậy khiến cho người đọc không cảm thấy bị áp đặt lối suy nghĩ.

Tôi cũng (lại) có đọc trên FB một lời nhận xét rằng BTC không có gì mới mẻ, thông tin này họ biết lâu rồi. Tôi thì không thấy vậy. Có thể người bạn đó sinh ra ở SG vào những năm 70 nên hiểu hơn nhưng với một hs miền Bắc sinh ra vào thời kỳ đã đã đổi mới và gia đình không đậm màu sắc chính trị như tôi, thì thông tin về VN sau 75 là rất mơ hồ. Tôi cũng có biết qua qua về cải tạo này kia, sản xuất mậu dịch, tem phiếu, về tị nạn, về chiến tranh. Thế nhưng không có một nguồn thông tin nào tổng hợp lại cả và tất cả hoàn toàn là vụn vặt. Những người lớn mà tôi biết hoặc không quan tâm, hoặc không hiểu biết, hoặc không muốn nói tới quá khứ này (hay vì tôi không chịu hỏi!?). Tôi thực sự đã thấy rất thiếu thốn nguồn thông tin từ VN về đất nước trong thế kỷ 20, và không biết tới khi nào lịch sử mới được viết ra một cách rõ ràng hơn. Tôi tưởng tượng ra Bắc Triều Tiên, có lẽ chúng ta sẽ không bao giờ biết về họ. Nhiều lúc tôi thử đọc các nguồn tài liệu từ nước ngoài và choáng váng bởi sự cực đoan của họ. Những cuốn sách từ các nhà sử học nghiên cứu công tâm hơn thì thường dừng lại ở thế kỷ 19 hay từ chiến tranh VN đổ lại và sử dụng các nguồn tài liệu từ phương Tây nhiều hơn. Vậy nên tôi rất trân trọng cuốn sách này. Nhất là khi thông tin được trình bày không dưới dạng tuyên truyền. BTC là một nỗ lực to lớn đem lại kiến thức về kinh tế chính trị xã hội, khách quan và đáng tin cậy hơn về VN sau 75.

Nói thế không có nghĩa là cuốn sách là một cái nhìn hoàn thiện về lịch sử và hoàn toàn là ""sự thật"". Rất nhiều tài liệu dựa trên hồi ký, và tôi cho rằng các hồi ký, cho dù giọng văn có chân thật tới mức nào, không thể đem ""sự thật"" hoàn toàn ra ánh sáng, và cho dù có chịu nhận sai lầm thì có lẽ là vẫn nói giảm nói tránh nhiều phần. Tôi thấy dù tác giả cố cân bằng thì những lời hồi ký và tự sự kia đều khá là thiên vị các nhân vật. Có những chi tiết tôi không biết nên quyết định thế nào. Đây là một điều không thể nào tránh khỏi, và chúng ta phải chấp nhận là có những thứ không bao giờ có thể chạm tới trong quá khứ. Nhưng ít ra tôi đã thấy sáng tỏ nhiều phần. Và tôi thực sự cảm thấy rất tò mò về cuốn thứ hai: Bên Thắng Cuộc: Quyền bính - khi các vấn đề chính trị càng gần với hiện tại hơn và vì thế càng nhạy cảm hơn.
(less)",4
1,"Thật sự tôi chưa bao giờ thích đọc sách về lịch sử. Đi học tiểu học, cấp 2, cấp 3, môn lịch sử của tôi tuy học cũng không tệ lắm nhưng quả thật chẳng thấm được bao nhiêu. Càng lớn lên tôi càng thấy sách giáo khoa sử mà mình được học, rồi những gì mà nhà nước tuyên truyền đến tai người dân về công cuộc đấu tranh vĩ đại giành độc lập của dân tộc... tất cả đều có một điều gì đó không ổn. Cuộc đấu tranh ấy vĩ đại quá, đẹp đẽ quá. Giải phóng xong, tưởng như cả nước ai cũng hồ hởi đi lên xây dựng chủ nghĩa xã hội. Tôi dần nhận ra những gì mình học chỉ là bề nổi mà thôi.

Cuốn sách này đã khiến tôi vỡ ra nhiều điều. Những đau thương mất mát của dân tộc ta không dừng lại khi đất nước được giải phóng và thống nhất. Ví dụ như, máu, nước mắt của người dân Việt Nam vẫn chưa ngừng đổ sau ngày độc lập. Ví dụ như, những ""bế tắc"" của đất nước khi nền kinh tế chưa được cải cách và mở cửa không chỉ đơn thuần dừng lại ở 2 từ ""bế tắc""...

Đọc sách này không phải để phủ nhận những thành quả mà cuộc giải phóng đem lại cho đất nước và chúng ta, rồi nảy ra tư tưởng phê phán Đảng hay Nhà nước. Đọc sách này là để chúng ta biết phải nhìn nhận mọi vấn đề với cái nhìn bao quát, kĩ lưỡng, sáng suốt hơn. Đọc sách này là để chúng ta biết cái giá của hòa bình đắt như thế nào, để mà trân trọng nó hơn. Đọc sách này là để biết dựa vào chính mình trước tiên chứ không nên mù quáng tin vào bất cứ sự tốt đẹp nào bày ra trước mắt.

Người 9x như tôi đọc cuốn sách này còn để hiểu, mình sinh ra trong thời chiến chứ không phải hoàn toàn trong thời bình. (less)",5
2,"cuốn sách đã nói được rất nhiều đến những điều mà lịch sử Viêt Nam, trong nhà trường, cũng như trên các phương tiện chính thống trong nước né tránh hoặc tai hại hơn nói sai sự thật. Thật sự ngưỡng mộ tác giả vì những thông tin ông cung cấp, mà giá trị của chúng còn được tăng thêm nhờ những nhìn nhân của chính những người trong cuộc. Tôi hồi hộp với những diễn biến của lịch sử đất nước, va rồi nuối tiếc rất nhiều. Việc sắp xếp các sự kiện và thời gian đôi khi làm tôi bị rối và phải đọc lại, nhưng đây vẫn là cuốn sách rất hay.
Ngay cả phần phụ lục, cung cấp những thông tin, tưởng chừng rất nhỏ như các chi tiết của việc xe tăng húc đổ cổng Dinh Độc lập nhưng lại làm thay đổi sói phận của những người tham gia. Điều này lam cho tôi ý thức rõ hơn việc trân trọng lịch sử, dù đó chỉ là chi tiết nhỏ nhất. Cảm ơn bác Huy Đức.

Tôi nghĩ cuốn sách này thế hệ trẻ đã nên đọc thì những người đang nắm giữ các chức vụ quan trọng càng nên đọc. (less)",5
3,"Năm sao cho lòng dũng cảm của tác giả, nhưng mình chỉ cho bốn sao về nội dung. Quyển sách rất hay như nó thiên về ký sự hơn là lịch sử nên các sự kiện có vẻ hơn rời rạc và thiếu tổ chức.",4
4,"Tôi đã quyết định không đọc Bên Thắng Cuộc-Giải Phóng khi sách mới ra vì có quá nhiều thông tin gây nhiễu loạn. Thật may cho tôi đó là một quyết định chính xác.
Tôi thực sự ngưỡng mộ sự dũng cảm, công phu phỏng vấn và sưu tầm của ông. Một điểm cũng làm tôi bất ngờ đó là giọng văn của Huy Đức, rất điềm tĩnh, chững chạc chứ không hề gay gắt, lệch lạc, cảm tính như tôi vẫn nghĩ về những cuốn sách loại này(Hay tưởng tượng ra sau khi xem các bài viết trên net. Cuốn thuộc thể loại này mà tôi đọc gần nhất là Đêm giữa ban ngày, dropped giữa chừng). Cuốn sách đã đem đến rất nhiều thông tin về một thời lịch sử đầy biến động của đất nước, mặc dù thông qua các cuốn hồi ký nên tôi vẫn sợ rằng nhiều thông tin vẫn chưa đủ khách quan. Nhưng làm sao lớp người đi sau chúng ta biết, hiểu hết được nếu không sống trong thời kỳ ấy? Phải chăng đó chính là 1 đặc điểm cố hữu của lịch sử? Thật khó hiểu khi rất nhiều người tranh luận gay gắt, chê đến hết cỡ, khen cũng khen đến nức nở, mà tôi đoán họ toàn những người đã trải qua thời kỳ ấy ?
Cuốn sách gặp phải vấn đề về trình bày, đôi khi tôi không phân biệt được đâu là lời dẫn của Huy Đức, đâu là các trích dẫn từ các references. Hi vọng rằng sẽ không gặp phải vấn đề này trong Quyền bính :). (less)",3
5,"Mình quyết định đọc cuốn này vì thấy nó có nhiều thông tin hay ho mà mình không được học từ trường lớp hay sách báo.
Nhưng mà khi đọc thì mình thấy hơi sợ hãi. Một là mình không hiểu biết nhiều về lịch sử cho lắm, nên cảm giác khá hoang mang. Hai là bầu không khí của cuốn sách quá ngột ngạt và đáng sợ, làm mình trằn trọc mất ngủ luôn í. Em ruột mình thì đại khái là cũng chuyên sử, nó nói thôi cái gì không cần biết thì cũng không nên biết làm gì, có thêm kiến thức thì cũng hay đó, nhưng mà kiến thức đó có bổ ích không hay là làm cho mình mất thoải mái.
Nên là sau khi cảm thấy quá nặng nề, với cả sách cũng có nhiều thông tin quá mình hấp thụ không nổi, thì mình đành xếp lại để qua một bên hihi. Và chắc chắn là không đọc tiếp phần 2 rồi.
Đối với mình thì đây vẫn là một quyển sách rất hay, nhưng mà khó đọc kinh khủng. (less)",4
6,"Một cuốn sách về nhiều vấn đề không phải ai cũng biết đã xảy ra ở Việt Nam từ 30-4-1945.

Những thông tin trong sách không phải chưa từng được biết đến hay bàn luận, song có lẽ đây là lần đầu tiên chúng được tổng hợp thành hệ thống rõ ràng, rành mạch. Nguồn tư liệu chủ yếu là hồi kí và lời kể nên khó tránh được sự thiên lệch. Bù lại, giọng văn của tác giả từ đầu tới cuối vẫn giữ được sự ôn hòa bình tĩnh.

Tất nhiên là trong sách, cũng như ở bất kì nơi nào khác, không tồn tại cái gọi là ""sự thực tuyệt đối"". (less)",4
7,"Trước khi đọc cuốn sách này, mình hoàn toàn không có bất kỳ khái niệm vào về lịch sử Việt Nam sau 1975 vì báo chí và nhà trường đều tránh nhắc đến hoặc chỉ nhắc đến một phần của ""Sự thật"".
Vì vậy, những điều tác giả thu thập được thực sự rất đáng tham khảo, tuy nhiên rất khó để kiểm duyệt đúng sai (Thực sự thì lịch sử luôn rất khó để kiểm duyệt đúng sai!!!) . Nhưng đây vẫn là một cuốn sách nên đọc và đáng đọc. Hãy đọc để có thêm một góc nhìn, tầm nhìn mới về ""bên thắng cuộc"". (less)",4
8,"Chưa đọc hết sách, nhưng không muốn đọc nữa nên tôi dừng hẳn.
Chính thức không đọc nó nữa, càng đọc càng thấy xót xa cho những con người Việt Nam Cộng Hòa, đã không thể bảo vệ chính họ. Xót xa cho những người đã mông muội tin theo và theo đuổi mù quáng một thứ mơ hồ để rồi mạng sống cũng không còn, điều tai hại hơn là họ đã phá hủy một xã hội văn minh đang phát triển.",5
9,Có giá trị giải ảo cao đặc biệt là điền vào khoảng trống lịch sử quan trọng mà nhà trường sau năm 75 không dạy. Đọc thấy hơi lúng túng bởi những dữ kiện không theo một trình tự nhưng đó là một chuyện vô cùng nhỏ nhặt so vơi giá trị của cuốn sách.,4
